item, calories, week, day
steak, 400, 1, 1
asados, 2500, 1, 1
blt, 500, 1, 2
pizza, 750, 1, 2
Blueberry Pie, 400, 1, 2
Hot Dogs, 170, 1, 2
Hot Dog Buns, 140, 1, 2
steak, 400, 1, 3
steak, 160, 1, 3
Hot Dogs, 170, 1, 3
Hot Dog Buns, 140, 1, 3
Boba, 400, 1, 3
Hamburger, 400, 1, 3
Strip Steak,400.0,1,3
Hot Dogs,170.0,1,4
Hot Dog Buns,140.0,1,4
Strip Steak,400.0,1,4
Sandwiches,800,1,4
Brioche Bread,140.0,1,4
Beef Chuck,280.0,1,4
Steak, 400, 1, 4
pizza,800,1,5
Blueberry Pie,400.0,1,5
Paffles,800,1,6
Mango Tea,200,1,6
Salmon,400,1,5
Noodles,400,1,5
Blueberry Muffin,200,1,5
Boba,400,1,5
Omlette,800,2,0
Brioche Bread,140.0,2,0
Beef Chuck,280.0,2,0
Beef Chuck,280.0,2,0
Pork Slices,150.0,2,0
Rice,160.0,2,0
Hot Noodles,400.0,1,6
Chicken Soup,400.0,1,6
Hot Dogs,170.0,2,0
Pork Slices,150.0,2,0
Hot Dog Buns,140.0,2,1
Hot Dogs,170.0,2,1
Poke Bowl,700,2,1
Brioche Bread,140.0,2,1
Beef Chuck,150.0,2,1
Avocado,200.0,2,1
Pastry,500,2,1
Hot Dogs,170.0,2,2
Hot Dogs,170.0,2,2
Hot Dog Buns,140.0,2,2
Poke Bowl,800,2,2
Strip Steak,400.0,2,2
McChicken,350,2,2
Salmon,550.0,2,2
Random Cakes,600,2,3
Sugar,200,2,3
Pizza,800,2,3
Lemongrass,800,2,3
Boba,400,2,3
Pork Slices,150.0,2,4
Strip Steak,400.0,2,4
Muffins,600,2,4
Chicken Salad,500,2,4
Pork Slices,160.0,2,4
Empanadas,210.0,2,4
Empanadas,1.0,2,4
Pringles,150.0,2,4
Pringles,150.0,2,4
Rice,160.0,2,4
Salmon,550.0,2,4
Teriyaki Yakisoba,400.0,2,5
Pringles,150.0,2,5
Pringles,150.0,2,5
Strip Steak,400.0,2,5
Pringles,150.0,2,5
Pringles,150.0,2,5
Pringles,150.0,2,5
Pringles,150.0,2,5
Doritos,200,2,5
Lays,200,2,5
Pizza,190.0,2,6
Pizza,190.0,2,6
Pizza,190.0,2,6
Pizza,190.0,2,6
Pizza,190.0,2,6
Pizza,190.0,2,6
Eggs,100.0,2,6
Eggs,100.0,2,6
Brioche Bread,140.0,2,6
Strip Steak,400.0,2,6
Arizona,100.0,2,6
Salami,100.0,2,6
Honey Ham,70.0,2,6
Brioche Slices,110.0,2,6
Brioche Slices,110.0,2,6
Honey Ham,70.0,3,0
Salami,100.0,3,0
Brioche Slices,110.0,3,0
Brioche Slices,110.0,3,0
Rice Paper,50.0,2,6
Rice Paper,50.0,2,6
Arizona,100.0,3,0
Mango Tea,300,3,0
Chicken Tenders,800,3,0
Rice Paper,50.0,3,0
Rice Paper,50.0,3,0
Caprisun,100.0,3,0
Mango,200.0,3,0
Hot Noodles,400.0,3,0
12 pc Dumplings,1000,3,1
Braised Pork Bowl,800,3,1
Arizona,100.0,3,1
Caprisun,100.0,3,1
Salami,100.0,3,1
Honey Ham,70.0,3,1
Brioche Slices,110.0,3,1
Brioche Slices,110.0,3,1
Mango,200.0,3,1
Poke,1000,3,2
Chicken Bowl,800,3,2
Boba,300,3,2
Brioche Slices,110.0,3,2
Brioche Slices,110.0,3,2
Honey Ham,70.0,3,2
Salami,100.0,3,2
Hot Dogs,170.0,3,2
Hot Dog Buns,140.0,3,2
Honey Ham,70.0,3,3
Brioche Slices,110.0,3,3
Brioche Slices,110.0,3,3
Salami,100,3,3
Condiments,90,3,3
Rice Paper,50.0,3,3
Rice Paper,50.0,3,3
Rice Paper,50.0,3,3
Rice Paper,50.0,3,3
Frito Lays,160,3,3
Condiments,80,3,3
Rice,160.0,3,3
Eggs,100.0,3,3
Eggs,100.0,3,3
Cookie,200,3,3
Pringles,160,3,3
Beef Yakisoba,500.0,3,3
Pastry,500,3,4
Eggs,100.0,3,4
Eggs,100.0,3,4
Brioche Slices,110.0,3,4
Brioche Slices,110.0,3,4
Caprisun,100.0,3,4
Sandiwches,800,3,4
Sandwiches,400,3,4
Sandwiches,800,3,5
Noodles,400,3,5
Rice Paper,50.0,3,5
Rice Paper,50.0,3,5
Rice Paper,50.0,3,5
Rice Paper,50.0,3,5
Eggs,100.0,3,5
Hot Dogs,170.0,3,5
Boba,150,3,5
Poke Bowl,1000,3,6
Rice and Chicken,500,3,6
Chicken,300,3,6
Mango Lemonade,200,3,6
Skewers,750,4,0
Condiments,200,4,0
Baguette,150.0,4,0
Flour Tortillas,100.0,4,0
Flour Tortillas,100.0,4,0
Flour Tortillas,100.0,4,0
Ground Beef,170.0,4,0
Ground Beef,170.0,4,0
Boba,150,4,0
Pho Noodles,220.0,4,1
Beef,170.0,4,1
Beef,170.0,4,1
Baguette,150.0,4,1
Arizona,100.0,4,1
Hot Dogs,170.0,4,1
Brioche Slices,110.0,4,2
Brioche Slices,110.0,4,2
Honey Ham,70.0,4,2
Honey Ham,70.0,4,2
Arizona,100.0,4,2
Condiments,90.0,4,2
Poke,1000,4,2
Flour Tortillas,100.0,4,2
Flour Tortillas,100.0,4,2
Beef,170.0,4,2
Beef,170.0,4,2
P.F Changs Dumplings,420.0,4,1
Beef,170.0,4,1
Beef,170.0,4,1
